Stars,Bar,Bowl,Box,Can,Cup,Pack,Tray,2014,2015,2016,2017,2018,Five Year Consumption Increase,Spicy,Variety Length
0,0,0,0,0,0,1,0,0.11241270556431629,0.11850569025235032,0.12749935081796937,0.12962012320328542,0.1289761431411531,1,0,0.12903225806451615
4.5,0,1,0,0,0,0,0,0.08064879477359765,0.0900544285007422,0.09919501428200468,0.09573921971252566,0.09468190854870775,1,0,0.16129032258064518
3.5,0,0,0,0,0,1,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.07526881720430109
5,0,0,0,0,0,1,0,0.002703311556656905,0.0029688273132112814,0.003116073747078681,0.003080082135523614,0.002982107355864811,1,1,0.18279569892473121
4.5,0,0,0,0,0,1,0,0.08064879477359765,0.0900544285007422,0.09919501428200468,0.09573921971252566,0.09468190854870775,1,0,0.22580645161290322
5,0,0,0,0,0,1,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.31182795698924737
4.5,0,0,0,0,0,1,0,0.002703311556656905,0.0029688273132112814,0.003116073747078681,0.003080082135523614,0.002982107355864811,1,0,0.5053763440860216
5,0,0,0,0,1,0,0,0.002703311556656905,0.0029688273132112814,0.003116073747078681,0.003080082135523614,0.002982107355864811,1,0,0.5591397849462366
1,0,0,0,0,0,0,1,0.08064879477359765,0.0900544285007422,0.09919501428200468,0.09573921971252566,0.09468190854870775,1,0,0.32258064516129037
4,0,0,0,0,0,1,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.08602150537634409
4.5,0,1,0,0,0,0,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.20430107526881722
3.5,0,0,0,0,0,1,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.26881720430107525
5,0,1,0,0,0,0,0,0.015769317413831946,0.016575952498762987,0.019735133731498315,0.020790554414784394,0.020377733598409543,1,1,0.4731182795698925
4.5,0,0,0,0,0,1,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.23655913978494628
3.5,0,0,0,1,0,0,0,0.09619283622437486,0.10069272637308263,0.10620618021293171,0.10574948665297741,0.10909542743538768,1,0,0.4623655913978495
5,0,0,0,0,0,1,0,0.015769317413831946,0.016575952498762987,0.019735133731498315,0.020790554414784394,0.020377733598409543,1,0,0.11827956989247312
5,0,1,0,0,0,0,0,0.08064879477359765,0.0900544285007422,0.09919501428200468,0.09573921971252566,0.09468190854870775,1,0,0.27956989247311825
5,0,0,0,0,0,1,0,0.029961703086280697,0.03364670954972786,0.03583484809140483,0.033367556468172486,0.033797216699801194,1,1,0.30107526881720437
3.5,0,0,0,0,0,1,0,0.12007208830817752,0.08040573973280553,0.11062061802129318,0.13886036960985626,0.1503479125248509,1,1,0.29032258064516137
3.75,0,0,0,0,0,1,0,0.08064879477359765,0.0900544285007422,0.09919501428200468,0.09573921971252566,0.09468190854870775,1,1,0.21505376344086025
4,0,0,0,0,0,1,0,0.30232034241946387,0.32632360217714,0.33757465593352376,0.32366529774127306,0.3113817097415507,1,0,0.21505376344086025
3.75,0,0,0,0,0,1,0,0.002703311556656905,0.0029688273132112814,0.003116073747078681,0.003080082135523614,0.002982107355864811,1,0,0.4838709677419355
3.5,0,1,0,0,0,0,0,0.1236765037170534,0.1368134586838199,0.14671513892495455,0.1450205338809035,0.14338966202783301,1,0,0.22580645161290322
3,0,0,0,0,0,1,0,0.08064879477359765,0.0900544285007422,0.09919501428200468,0.09573921971252566,0.09468190854870775,1,0,0.08602150537634409
